Samples,Long,Lat
AW_deep_1,127.913589,26.600749
AW_deep_2,127.913589,26.600749
AW_deep_3,127.913589,26.600749
AW_shallow_1,127.913589,26.600749
AW_shallow_2,127.913589,26.600749
AW_shallow_3,127.913589,26.600749
G1_deep_1,127.744761,26.28812
G1_deep_2,127.744761,26.28812
G1_deep_3,127.744761,26.28812
G1_shallow_1,127.744761,26.28812
G1_shallow_2,127.744761,26.28812
G1_shallow_3,127.744761,26.28812
G2_deep_1,127.744863,26.288536
G2_deep_2,127.744863,26.288536
G2_deep_3,127.744863,26.288536
G2_shallow_1,127.744863,26.288536
G2_shallow_2,127.744863,26.288536
G2_shallow_3,127.744863,26.288536
HI_deep_1,127.272513,26.190828
HI_deep_2,127.272513,26.190828
HI_deep_3,127.272513,26.190828
HI_shallow_1,127.272513,26.190828
HI_shallow_2,127.272513,26.190828
HI_shallow_3,127.272513,26.190828
MI_deep_1,127.738471,26.359467
MI_deep_2,127.738471,26.359467
MI_deep_3,127.738471,26.359467
MI_shallow_1,127.738471,26.359467
MI_shallow_2,127.738471,26.359467
MI_shallow_3,127.738471,26.359467
S1_deep_1,127.275936,26.182134
S1_deep_2,127.275936,26.182134
S1_deep_3,127.275936,26.182134
S1_shallow_1,127.275936,26.182134
S1_shallow_2,127.275936,26.182134
S1_shallow_3,127.275936,26.182134
S2_deep_1,127.276719,26.183636
S2_deep_2,127.276719,26.183636
S2_deep_3,127.276719,26.183636
S2_shallow_1,127.276719,26.183636
S2_shallow_3,127.276719,26.183636
S2_shallow2,127.276719,26.183636
SK_shallow_1,127.979799,26.569222
SK_shallow_2,127.979799,26.569222
SK_shallow_3,127.979799,26.569222
SN_deep_1,127.746061,26.321623
SN_deep_2,127.746061,26.321623
SN_deep_3,127.746061,26.321623
SN_shallow_1,127.746061,26.321623
SN_shallow_2,127.746061,26.321623
SN_shallow_3,127.746061,26.321623
YO_deep_1,128.196653,26.769823
YO_deep_2,128.196653,26.769823
YO_deep_3,128.196653,26.769823
YO_shallow_1,128.196653,26.769823
YO_shallow_2,128.196653,26.769823
YO_shallow_3,128.196653,26.769823
ZA_deep_1,128.248738,26.837648
ZA_deep_2,128.248738,26.837648
ZA_deep_3,128.248738,26.837648
ZA_shallow_1,128.248738,26.837648
ZA_shallow_2,128.248738,26.837648
ZA_shallow_3,128.248738,26.837648
ZP_deep_1,127.712427,26.441218
ZP_deep_2,127.712427,26.441218
ZP_deep_3,127.712427,26.441218
ZP_shallow_1,127.712427,26.441218
ZP_shallow_2,127.712427,26.441218
ZP_shallow_3,127.712427,26.441218
