PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: cov_res_matrix
Data type: Similarity
Selection: All
Resemblance: S17 Bray-Curtis similarity (+d)

Group factor: Site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 69

DEVIATIONS FROM CENTROID
F: 5.3522  df1: 22  df2: 46
P(perm): 0.0587

PAIRWISE COMPARISONS
Groups	       t	P(perm)				
(AW_Deep,AW_Shallow)	 0.82877	 0.7124				
(AW_Deep,G1_Deep)	  2.0845	 0.3986				
(AW_Deep,G1_Shallow)	  3.0358	 0.0979				
(AW_Deep,G2_Deep)	  2.8652	 0.0979				
(AW_Deep,G2_Shallow)	 0.74566	 0.7038				
(AW_Deep,HI_Deep)	 0.48796	 0.6991				
(AW_Deep,HI_Shallow)	 0.62283	 0.5975				
(AW_Deep,MI_Deep)	  2.1296	 0.1993				
(AW_Deep,MI_Shallow)	 0.83304	 0.6029				
(AW_Deep,S1_Deep)	 0.54957	 0.6967				
(AW_Deep,S1_Shallow)	 0.50242	 0.8985				
(AW_Deep,S2_Deep)	  1.7807	 0.4052				
(AW_Deep,S2_Shallow)	  2.4534	 0.1014				
(AW_Deep,SK_Shallow)	  1.4135	 0.5046				
(AW_Deep,SN_Deep)	  3.4124	 0.1018				
(AW_Deep,SN_Shallow)	  2.4067	 0.1025				
(AW_Deep,YO_Deep)	  3.0672	 0.0971				
(AW_Deep,YO_Shallow)	  1.6964	 0.4024				
(AW_Deep,ZA_Deep)	  2.0111	  0.198				
(AW_Deep,ZA_Shallow)	 0.19891	 0.9021				
(AW_Deep,ZP_Deep)	0.063252	      1				
(AW_Deep,ZP_Shallow)	 0.78148	 0.5913				
(AW_Shallow,G1_Deep)	  2.4695	 0.0986				
(AW_Shallow,G1_Shallow)	  3.5185	 0.0996				
(AW_Shallow,G2_Deep)	  3.2223	 0.1002				
(AW_Shallow,G2_Shallow)	  1.2033	 0.5107				
(AW_Shallow,HI_Deep)	 0.31388	 0.7035				
(AW_Shallow,HI_Shallow)	  1.3686	 0.6074				
(AW_Shallow,MI_Deep)	  2.6024	 0.0996				
(AW_Shallow,MI_Shallow)	  1.8436	 0.1968				
