PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem4
Data type: Similarity
Selection: All
Transform: Fourth root
Resemblance: S17 Bray-Curtis similarity (+d)

Group factor: Site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 69

DEVIATIONS FROM CENTROID
F: 3.3212  df1: 22  df2: 46
P(perm): 0.0424

PAIRWISE COMPARISONS
Groups	        t	P(perm)				
(AW_Deep,AW_Shallow)	   1.4833	 0.2975				
(AW_Deep,G1_Deep)	   4.1192	  0.103				
(AW_Deep,G1_Shallow)	  0.57817	 0.6978				
(AW_Deep,G2_Deep)	  0.13208	 0.9023				
(AW_Deep,G2_Shallow)	   1.5545	 0.0986				
(AW_Deep,HI_Deep)	   2.4001	 0.1026				
(AW_Deep,HI_Shallow)	   3.8016	 0.1074				
(AW_Deep,MI_Deep)	   2.7544	 0.1025				
(AW_Deep,MI_Shallow)	   2.7183	 0.1013				
(AW_Deep,S1_Deep)	   4.1848	 0.1098				
(AW_Deep,S1_Shallow)	   2.9509	 0.0978				
(AW_Deep,S2_Deep)	    4.472	 0.1034				
(AW_Deep,S2_Shallow)	   1.6157	 0.1017				
(AW_Deep,SK_Shallow)	   1.2185	 0.2999				
(AW_Deep,SN_Deep)	  0.32472	 0.7944				
(AW_Deep,SN_Shallow)	    1.594	 0.4993				
(AW_Deep,YO_Deep)	   1.2969	 0.4952				
(AW_Deep,YO_Shallow)	    7.126	  0.099				
(AW_Deep,ZA_Deep)	   1.8733	 0.1999				
(AW_Deep,ZA_Shallow)	   4.5486	 0.0988				
(AW_Deep,ZP_Deep)	    2.611	 0.1051				
(AW_Deep,ZP_Shallow)	   4.2891	 0.0981				
(AW_Shallow,G1_Deep)	   2.3356	 0.1018				
(AW_Shallow,G1_Shallow)	  0.22733	 0.9024				
(AW_Shallow,G2_Deep)	    1.111	 0.4981				
(AW_Shallow,G2_Shallow)	  0.70567	 0.6947				
(AW_Shallow,HI_Deep)	  0.99352	  0.501				
(AW_Shallow,HI_Shallow)	   1.7801	 0.2001				
(AW_Shallow,MI_Deep)	   1.2199	 0.3023				
(AW_Shallow,MI_Shallow)	   1.1598	 0.2019				
(AW_Shallow,S1_Deep)	   2.3463	 0.2072				
(AW_Shallow,S1_Shallow)	  0.85199	 0.4007				
(AW_Shallow,S2_Deep)	    2.227	 0.1025				
(AW_Shallow,S2_Shallow)	  0.23746	 0.5921				
(AW_Shallow,SK_Shallow)	  0.21989	 0.7008				
(AW_Shallow,SN_Deep)	   1.5676	    0.2				
(AW_Shallow,SN_Shallow)	  0.56384	 0.6934				
(AW_Shallow,YO_Deep)	   1.8402	 0.3061				
(AW_Shallow,YO_Shallow)	   4.8488	 0.1073				
(AW_Shallow,ZA_Deep)	  0.10742	 0.9006				
(AW_Shallow,ZA_Shallow)	   2.2786	 0.0959				
(AW_Shallow,ZP_Deep)	   1.3219	 0.3064				
(AW_Shallow,ZP_Shallow)	   2.3759	 0.1067				
(G1_Deep,G1_Shallow)	   1.4201	 0.4048				
(G1_Deep,G2_Deep)	   3.1536	 0.1006				
(G1_Deep,G2_Shallow)	  0.50516	  0.795				
(G1_Deep,HI_Deep)	   1.0385	  0.298				
(G1_Deep,HI_Shallow)	   1.0753	 0.1004				
(G1_Deep,MI_Deep)	  0.97805	 0.5006				
(G1_Deep,MI_Shallow)	   1.0881	 0.5105				
(G1_Deep,S1_Deep)	 0.062862	 0.9001				
(G1_Deep,S1_Shallow)	   2.5033	 0.1023				
(G1_Deep,S2_Deep)	  0.83673	 0.3053				
