PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: edna_res_matrix
Data type: Similarity
Selection: All
Resemblance: S7 Jaccard (+d)

Group factor: Site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 67

DEVIATIONS FROM CENTROID
F: 13.235  df1: 22  df2: 44
P(perm): 0.0002

PAIRWISE COMPARISONS
Groups	       t	P(perm)				
(CapeZanpa_shallow,CapeZanpa_deep)	  1.3629	 0.0986				
(CapeZanpa_shallow,Zatsun_shallow)	  2.4918	 0.0961				
(CapeZanpa_shallow,Zatsun_deep)	  1.5307	 0.1025				
(CapeZanpa_shallow,Yonama_shallow)	  9.2727	 0.0989				
(CapeZanpa_shallow,Yonama_deep)	  2.2081	 0.0985				
(CapeZanpa_shallow,Sunabe_shallow)	 0.73603	 0.0963				
(CapeZanpa_shallow,Sunabe_deep)	  2.4163	 0.2045				
(CapeZanpa_shallow,Sukuta_shallow)	  7.0409	 0.0995				
(CapeZanpa_shallow,Sakubaru2_shallow)	  1.3466	 0.7124				
(CapeZanpa_shallow,Sakubaru2_deep)	   2.438	 0.0989				
(CapeZanpa_shallow,Sakubaru1_shallow)	 0.92154	 0.0987				
(CapeZanpa_shallow,Sakubaru1_deep)	  5.6303	 0.0957				
(CapeZanpa_shallow,Mizugama_shallow)	  0.1113	      1				
(CapeZanpa_shallow,Mizugama_deep)	  3.2976	 0.1022				
(CapeZanpa_shallow,Hizushi_shallow)	  3.8318	 0.1006				
(CapeZanpa_shallow,Hizushi_deep)	  5.4308	 0.1049				
(CapeZanpa_shallow,GinowanPort2_shallow)	  1.2414	 0.0953				
(CapeZanpa_shallow,GinowanPort2_deep)	  2.4884	 0.0952				
(CapeZanpa_shallow,GinowanPort1_shallow)	  1.1377	 0.1001				
(CapeZanpa_shallow,GinowanPort1_deep)	 0.71882	 0.1026				
(CapeZanpa_shallow,Awa_shallow)	  1.2578	 0.0966				
(CapeZanpa_shallow,Awa_deep)	  3.4612	 0.0983				
(CapeZanpa_deep,Zatsun_shallow)	  3.3875	 0.1012				
(CapeZanpa_deep,Zatsun_deep)	  2.4895	 0.0983				
