PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem5
Data type: Similarity
Selection: All
Transform: Fourth root
Resemblance: S17 Bray-Curtis similarity (+d)

Group factor: Site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 69

DEVIATIONS FROM CENTROID
F: 3.7381  df1: 22  df2: 46
P(perm): 0.1713

PAIRWISE COMPARISONS
Groups	        t	P(perm)				
(AW_Deep,AW_Shallow)	   1.4626	 0.5888				
(AW_Deep,G1_Deep)	   2.1231	 0.3023				
(AW_Deep,G1_Shallow)	  0.52014	 0.7995				
(AW_Deep,G2_Deep)	   3.3702	 0.0976				
(AW_Deep,G2_Shallow)	  0.61648	 0.8002				
(AW_Deep,HI_Deep)	   3.4212	 0.1046				
(AW_Deep,HI_Shallow)	   3.0692	 0.1018				
(AW_Deep,MI_Deep)	   0.8596	 0.5925				
(AW_Deep,MI_Shallow)	   1.5023	 0.7006				
(AW_Deep,S1_Deep)	   2.5763	 0.2101				
(AW_Deep,S1_Shallow)	   2.1885	 0.0991				
(AW_Deep,S2_Deep)	   2.3031	 0.1991				
(AW_Deep,S2_Shallow)	   2.3077	 0.1006				
(AW_Deep,SK_Shallow)	   2.1257	  0.304				
(AW_Deep,SN_Deep)	   1.3888	  0.697				
(AW_Deep,SN_Shallow)	   2.4573	 0.1971				
(AW_Deep,YO_Deep)	   1.4569	 0.7062				
(AW_Deep,YO_Shallow)	   2.5489	 0.1014				
(AW_Deep,ZA_Deep)	   1.5594	 0.4056				
(AW_Deep,ZA_Shallow)	   3.1436	 0.1036				
(AW_Deep,ZP_Deep)	   2.0501	 0.0953				
(AW_Deep,ZP_Shallow)	   3.1244	 0.0984				
(AW_Shallow,G1_Deep)	  0.96213	 0.4987				
(AW_Shallow,G1_Shallow)	    1.257	 0.6071				
(AW_Shallow,G2_Deep)	   3.2282	 0.0998				
(AW_Shallow,G2_Shallow)	   1.6562	 0.1018				
(AW_Shallow,HI_Deep)	   3.3485	 0.0974				
(AW_Shallow,HI_Shallow)	   2.6203	 0.0955				
(AW_Shallow,MI_Deep)	  0.78958	 0.7929				
(AW_Shallow,MI_Shallow)	 0.029332	      1				
(AW_Shallow,S1_Deep)	   1.7169	 0.1962				
(AW_Shallow,S1_Shallow)	   1.0474	 0.3934				
(AW_Shallow,S2_Deep)	   1.2403	 0.4923				
(AW_Shallow,S2_Shallow)	   1.2473	 0.4066				
(AW_Shallow,SK_Shallow)	   1.0575	 0.3979				
(AW_Shallow,SN_Deep)	 0.061862	      1				
(AW_Shallow,SN_Shallow)	   1.5027	 0.1963				
(AW_Shallow,YO_Deep)	  0.20802	 0.8068				
(AW_Shallow,YO_Shallow)	   1.6515	 0.2017				
(AW_Shallow,ZA_Deep)	  0.13566	 0.9033				
(AW_Shallow,ZA_Shallow)	   2.7362	 0.1021				
(AW_Shallow,ZP_Deep)	  0.82252	 0.5996				
(AW_Shallow,ZP_Shallow)	   2.6909	 0.1036				
(G1_Deep,G1_Shallow)	   2.2191	 0.3963				
(G1_Deep,G2_Deep)	   2.5558	 0.1009				
(G1_Deep,G2_Shallow)	   3.2157	 0.1033				
(G1_Deep,HI_Deep)	   2.7087	 0.1011				
(G1_Deep,HI_Shallow)	   1.8132	 0.0998				
(G1_Deep,MI_Deep)	   1.7273	 0.5021				
(G1_Deep,MI_Shallow)	  0.96969	 0.6046				
(G1_Deep,S1_Deep)	  0.74901	 0.8046				
(G1_Deep,S1_Shallow)	0.0093638	 0.9014				
(G1_Deep,S2_Deep)	  0.21969	 0.8973				
(G1_Deep,S2_Shallow)	  0.21482	 0.9015				
(G1_Deep,SK_Shallow)	  0.31772	 0.7988				
(G1_Deep,SN_Deep)	  0.71265	 0.7024				
(G1_Deep,SN_Shallow)	  0.56628	 0.5039				
(G1_Deep,YO_Deep)	  0.50671	 0.9032				
(G1_Deep,YO_Shallow)	  0.77622	 0.5959				
(G1_Deep,ZA_Deep)	  0.82595	 0.8942				
(G1_Deep,ZA_Shallow)	   1.9632	 0.4946				
(G1_Deep,ZP_Deep)	  0.22292	  0.902				
(G1_Deep,ZP_Shallow)	   1.9135	  0.304				
(G1_Shallow,G2_Deep)	   4.3049	 0.1008				
(G1_Shallow,G2_Shallow)	 0.040423	      1				
(G1_Shallow,HI_Deep)	   4.4098	 0.0994				
(G1_Shallow,HI_Shallow)	    3.775	 0.0975				
(G1_Shallow,MI_Deep)	  0.44532	 0.7021				
(G1_Shallow,MI_Shallow)	   1.3174	 0.3949				
(G1_Shallow,S1_Deep)	   2.9794	 0.0984				
(G1_Shallow,S1_Shallow)	   2.3616	 0.2015				
(G1_Shallow,S2_Deep)	   2.5411	 0.0985				
(G1_Shallow,S2_Shallow)	   2.5564	 0.2031				
(G1_Shallow,SK_Shallow)	   2.1092	 0.2045				
(G1_Shallow,SN_Deep)	   1.1411	 0.5966				
(G1_Shallow,SN_Shallow)	   2.7404	 0.0975				
(G1_Shallow,YO_Deep)	   1.2244	 0.5953				
(G1_Shallow,YO_Shallow)	   2.8401	 0.1015				
(G1_Shallow,ZA_Deep)	   1.3922	 0.5018				
(G1_Shallow,ZA_Shallow)	   3.8644	 0.1034				
(G1_Shallow,ZP_Deep)	   2.1434	 0.3066				
(G1_Shallow,ZP_Shallow)	   3.8202	 0.1016				
(G2_Deep,G2_Shallow)	   8.4472	 0.1029				
(G2_Deep,HI_Deep)	  0.28489	 0.8041				
(G2_Deep,HI_Shallow)	   1.1287	 0.0945				
(G2_Deep,MI_Deep)	    3.782	 0.1057				
(G2_Deep,MI_Shallow)	   3.4039	 0.0986				
(G2_Deep,S1_Deep)	   2.5396	 0.0954				
(G2_Deep,S1_Shallow)	   3.1568	 0.1042				
(G2_Deep,S2_Deep)	    2.984	 0.1029				
(G2_Deep,S2_Shallow)	   3.1193	 0.1016				
(G2_Deep,SK_Shallow)	   1.2703	 0.3922				
(G2_Deep,SN_Deep)	   2.3226	 0.0983				
(G2_Deep,SN_Shallow)	   2.1367	 0.3044				
(G2_Deep,YO_Deep)	   1.9527	 0.2021				
(G2_Deep,YO_Shallow)	   1.5784	 0.2955				
(G2_Deep,ZA_Deep)	   3.1184	 0.0983				
(G2_Deep,ZA_Shallow)	  0.64688	 0.6988				
(G2_Deep,ZP_Deep)	   3.2635	 0.0987				
(G2_Deep,ZP_Shallow)	   0.6402	 0.5068				
(G2_Shallow,HI_Deep)	   8.9633	 0.1026				
(G2_Shallow,HI_Shallow)	   6.7917	 0.0954				
(G2_Shallow,MI_Deep)	  0.53071	 0.6005				
(G2_Shallow,MI_Shallow)	    1.778	 0.1008				
(G2_Shallow,S1_Deep)	   5.0053	 0.1025				
(G2_Shallow,S1_Shallow)	    3.707	 0.1048				
(G2_Shallow,S2_Deep)	   4.0632	 0.1053				
(G2_Shallow,S2_Shallow)	   4.1455	 0.0983				
(G2_Shallow,SK_Shallow)	   2.6198	 0.0995				
(G2_Shallow,SN_Deep)	   1.3661	 0.4094				
(G2_Shallow,SN_Shallow)	   4.2113	 0.1031				
(G2_Shallow,YO_Deep)	   1.4352	  0.298				
(G2_Shallow,YO_Shallow)	   4.1918	 0.1039				
(G2_Shallow,ZA_Deep)	    1.855	 0.2017				
(G2_Shallow,ZA_Shallow)	   6.7496	 0.0953				
(G2_Shallow,ZP_Deep)	   3.2671	 0.0988				
(G2_Shallow,ZP_Shallow)	    6.556	 0.1054				
(HI_Deep,HI_Shallow)	   1.4131	 0.5041				
(HI_Deep,MI_Deep)	   3.8844	 0.1017				
(HI_Deep,MI_Shallow)	   3.5399	 0.1045				
(HI_Deep,S1_Deep)	   2.8303	 0.0994				
(HI_Deep,S1_Shallow)	    3.396	 0.1041				
(HI_Deep,S2_Deep)	   3.2355	  0.101				
(HI_Deep,S2_Shallow)	   3.3952	 0.1009				
(HI_Deep,SK_Shallow)	   1.3374	 0.3963				
(HI_Deep,SN_Deep)	   2.3928	 0.1015				
(HI_Deep,SN_Shallow)	   2.3142	 0.0976				
(HI_Deep,YO_Deep)	   2.0126	 0.1018				
(HI_Deep,YO_Shallow)	   1.7124	 0.3935				
(HI_Deep,ZA_Deep)	   3.2412	 0.1059				
(HI_Deep,ZA_Shallow)	  0.84844	  0.594				
(HI_Deep,ZP_Deep)	   3.4782	  0.099				
(HI_Deep,ZP_Shallow)	   0.8256	      1				
(HI_Shallow,MI_Deep)	   3.2545	 0.0979				
(HI_Shallow,MI_Shallow)	   2.7399	 0.1005				
(HI_Shallow,S1_Deep)	   1.4058	  0.202				
(HI_Shallow,S1_Shallow)	   2.1597	 0.3034				
(HI_Shallow,S2_Deep)	   1.9516	 0.1023				
(HI_Shallow,S2_Shallow)	   2.0258	  0.402				
