PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem6
Data type: Similarity
Selection: All
Resemblance: S17 Bray-Curtis similarity (+d)

Group factor: site_depth
Number of permutations: 9999

Number of groups: 23
Number of samples: 69

DEVIATIONS FROM CENTROID
F: 3.9295  df1: 22  df2: 46
P(perm): 0.0963

PAIRWISE COMPARISONS
Groups	        t	P(perm)				
(AW_D,AW_S)	  0.42183	 0.8037				
(AW_D,G1_D)	   1.8344	 0.2977				
(AW_D,G1_S)	   3.8394	 0.0995				
(AW_D,G2_D)	  0.35401	 0.7979				
(AW_D,G2_S)	   2.0469	    0.3				
(AW_D,HI_D)	  0.57538	 0.7008				
(AW_D,HI_S)	  0.87324	 0.5932				
(AW_D,MI_D)	  0.17959	      1				
(AW_D,MI_S)	   3.6996	 0.1033				
(AW_D,S1_D)	   4.0098	 0.0905				
(AW_D,S1_S)	   2.4839	  0.099				
(AW_D,S2_D)	  0.11192	 0.9006				
(AW_D,S2_S)	   3.0865	 0.0976				
(AW_D,SK_S)	   2.6742	 0.0957				
(AW_D,SN_D)	  0.28408	 0.6889				
(AW_D,SN_S)	   2.4683	 0.1057				
(AW_D,YO_D)	  0.95761	  0.294				
(AW_D,YO_S)	    4.405	 0.1028				
(AW_D,ZA_D)	  0.40488	 0.7962				
(AW_D,ZA_S)	  0.30441	 0.9008				
(AW_D,ZP_D)	   4.0581	  0.099				
(AW_D,ZP_S)	  0.19038	 0.6952				
(AW_S,G1_D)	   1.6465	 0.1996				
(AW_S,G1_S)	   3.7887	 0.0995				
(AW_S,G2_D)	0.0052517	      1				
(AW_S,G2_S)	    2.268	 0.2054				
(AW_S,HI_D)	  0.10799	 0.6975				
(AW_S,HI_S)	   1.1966	 0.4936				
(AW_S,MI_D)	  0.38361	 0.7964				
(AW_S,MI_S)	   3.6352	 0.0954				
(AW_S,S1_D)	   3.8927	 0.1064				
(AW_S,S1_S)	    2.652	 0.1012				
(AW_S,S2_D)	  0.06471	      1				
(AW_S,S2_S)	   3.1311	 0.1013				
(AW_S,SK_S)	   2.8337	  0.102				
(AW_S,SN_D)	  0.19644	 0.9043				
(AW_S,SN_S)	   2.6429	 0.0952				
(AW_S,YO_D)	   1.3378	 0.3033				
(AW_S,YO_S)	    4.214	 0.0952				
(AW_S,ZA_D)	 0.015359	      1				
(AW_S,ZA_S)	 0.059688	 0.9059				
(AW_S,ZP_D)	   3.9269	 0.0999				
(AW_S,ZP_S)	   0.6144	 0.2086				
(G1_D,G1_S)	   2.9704	 0.1003				
(G1_D,G2_D)	   1.6049	 0.4968				
(G1_D,G2_S)	   2.5659	 0.1015				
(G1_D,HI_D)	   1.6216	 0.4975				
(G1_D,HI_S)	   2.1441	 0.1997				
(G1_D,MI_D)	   1.8415	  0.304				
(G1_D,MI_S)	   2.8776	 0.0993				
(G1_D,S1_D)	   2.9568	 0.0982				
(G1_D,S1_S)	   2.6535	 0.0951				
(G1_D,S2_D)	   1.3139	 0.5034				
(G1_D,S2_S)	   2.7306	 0.0993				
(G1_D,SK_S)	   2.7749	  0.098				
(G1_D,SN_D)	   1.7574	 0.3074				
(G1_D,SN_S)	   2.6707	 0.1033				
(G1_D,YO_D)	   2.1426	 0.1988				
(G1_D,YO_S)	   3.0494	 0.0949				
(G1_D,ZA_D)	   1.6528	 0.4011				
(G1_D,ZA_S)	   1.6371	 0.5039				
(G1_D,ZP_D)	   2.9612	 0.1031				
(G1_D,ZP_S)	   1.9119	 0.4031				
(G1_S,G2_D)	    3.043	 0.0975				
(G1_S,G2_S)	   1.1237	 0.2943				
(G1_S,HI_D)	   4.4107	 0.0987				
(G1_S,HI_S)	   2.4001	 0.0993				
(G1_S,MI_D)	   7.9232	 0.0965				
(G1_S,MI_S)	  0.73245	 0.8001				
(G1_S,S1_D)	  0.20331	 0.7967				
(G1_S,S1_S)	   1.1976	 0.2027				
(G1_S,S2_D)	   1.2974	  0.398				
(G1_S,S2_S)	   1.5602	 0.0972				
(G1_S,SK_S)	  0.45373	 0.6999				
(G1_S,SN_D)	   4.7574	 0.0991				
(G1_S,SN_S)	  0.99292	 0.6961				
(G1_S,YO_D)	    6.146	 0.1041				
(G1_S,YO_S)	  0.43495	 0.6974				
(G1_S,ZA_D)	   3.7657	 0.0981				
(G1_S,ZA_S)	   3.0714	 0.0994				
(G1_S,ZP_D)	  0.19349	      1				
(G1_S,ZP_S)	   4.0398	 0.1019				
(G2_D,G2_S)	   1.9392	 0.1008				
(G2_D,HI_D)	 0.098076	      1				
(G2_D,HI_S)	   1.0292	 0.4947				
(G2_D,MI_D)	  0.29646	 0.9055				
(G2_D,MI_S)	   2.8691	 0.0999				
(G2_D,S1_D)	   3.0692	 0.0957				
(G2_D,S1_S)	   2.2009	 0.0957				
(G2_D,S2_D)	  0.06008	      1				
(G2_D,S2_S)	   2.4877	 0.1036				
(G2_D,SK_S)	    2.409	 0.2003				
(G2_D,SN_D)	  0.15867	 0.7953				
(G2_D,SN_S)	   2.2157	  0.302				
(G2_D,YO_D)	   1.0463	 0.4923				
(G2_D,YO_S)	   3.3114	 0.0998				
(G2_D,ZA_D)	0.0081355	      1				
(G2_D,ZA_S)	 0.048574	 0.8052				
(G2_D,ZP_D)	   3.0882	 0.0976				
(G2_D,ZP_S)	  0.51009	 0.7961				
(G2_S,HI_D)	   2.5602	 0.0949				
(G2_S,HI_S)	   1.0703	 0.6935				
(G2_S,MI_D)	   2.9022	 0.0978				
(G2_S,MI_S)	  0.80969	 0.6995				
(G2_S,S1_D)	   1.0932	 0.4933				
(G2_S,S1_S)	  0.14602	      1				
(G2_S,S2_D)	  0.90696	 0.4918				
(G2_S,S2_S)	  0.29722	  0.695				
(G2_S,SK_S)	  0.55327	 0.4971				
(G2_S,SN_D)	   2.4773	 0.1005				
(G2_S,SN_S)	  0.22536	 0.7974				
(G2_S,YO_D)	   1.8543	 0.1974				
(G2_S,YO_S)	   1.4315	 0.3967				
(G2_S,ZA_D)	   2.2505	  0.197				
(G2_S,ZA_S)	    1.927	 0.3007				
(G2_S,ZP_D)	   1.1114	 0.6022				
(G2_S,ZP_S)	   1.9945	 0.1981				
(HI_D,HI_S)	   1.3949	    0.5				
(HI_D,MI_D)	  0.59706	 0.7025				
(HI_D,MI_S)	   4.3026	 0.0986				
(HI_D,S1_D)	   4.6008	  0.104				
(HI_D,S1_S)	   3.0446	 0.0975				
(HI_D,S2_D)	  0.11178	      1				
(HI_D,S2_S)	   3.7045	 0.0997				
(HI_D,SK_S)	   3.1848	 0.1022				
(HI_D,SN_D)	  0.34309	 0.7045				
(HI_D,SN_S)	   3.0103	 0.0992				
(HI_D,YO_D)	   1.6927	  0.095				
(HI_D,YO_S)	   4.9831	 0.1013				
(HI_D,ZA_D)	  0.12433	      1				
(HI_D,ZA_S)	  0.15751	 0.9036				
(HI_D,ZP_D)	   4.6507	 0.0955				
(HI_D,ZP_S)	  0.79779	 0.6016				
(HI_S,MI_D)	   1.2926	 0.1993				
(HI_S,MI_S)	   2.1723	 0.0961				
(HI_S,S1_D)	   2.4419	 0.1962				
(HI_S,S1_S)	   1.3385	 0.5969				
(HI_S,S2_D)	  0.46149	 0.6975				
(HI_S,S2_S)	   1.6639	 0.2965				
(HI_S,SK_S)	   1.6296	 0.5051				
(HI_S,SN_D)	   1.1973	 0.1988				
(HI_S,SN_S)	    1.372	 0.6067				
(HI_S,YO_D)	  0.29431	 0.8968				
(HI_S,YO_S)	   2.7713	 0.1037				
(HI_S,ZA_D)	   1.1801	 0.4982				
(HI_S,ZA_S)	  0.99616	 0.4974				
(HI_S,ZP_D)	   2.4689	 0.1026				
(HI_S,ZP_S)	   0.7483	 0.7019				
(MI_D,MI_S)	   10.009	 0.0957				
(MI_D,S1_D)	   11.089	 0.1008				
(MI_D,S1_S)	    4.008	 0.1043				
(MI_D,S2_D)	 0.064046	      1				
(MI_D,S2_S)	   7.3988	 0.1003				
(MI_D,SK_S)	   3.8326	 0.0999				
