Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1	SND1	Default	6/29/2022	4:25 PM	-16.94	ng/ul	-0.339	-0.215	1.58	0.35	50.00	260	-0.337	-1.292	DNA-50
	B1	SND2	Default	6/29/2022	4:25 PM	-2.232	ng/ul	-0.045	-0.049	0.91	0.09	50.00	260	-0.040	-1.801	DNA-50
	C1	SND3	Default	6/29/2022	4:25 PM	30.72	ng/ul	0.614	0.284	2.16	0.63	50.00	260	0.611	0.101	DNA-50
	D1	SNS1	Default	6/29/2022	4:25 PM	13.15	ng/ul	0.263	0.162	1.63	0.86	50.00	260	0.262	0.050	DNA-50
	E1	SNS2	Default	6/29/2022	4:25 PM	18.31	ng/ul	0.366	0.201	1.82	0.56	50.00	260	0.367	0.151	DNA-50
	F1	SNS3	Default	6/29/2022	4:25 PM	31.21	ng/ul	0.624	0.349	1.79	0.84	50.00	260	0.620	0.297	DNA-50
	G1	SNFIL	Default	6/29/2022	4:25 PM	1.346	ng/ul	0.027	0.005	5.18	0.22	50.00	260	0.027	0.057	DNA-50
	H1	SNFIE	Default	6/29/2022	4:25 PM	14.53	ng/ul	0.291	0.170	1.71	0.86	50.00	260	0.291	0.199	DNA-50
	A1	SND1	Default	6/29/2022	4:32 PM	12.17	ng/ul	0.243	0.103	2.37	1.07	50.00	260	0.246	-0.716	DNA-50
	B1	SND2	Default	6/29/2022	4:32 PM	18.97	ng/ul	0.379	0.195	1.94	0.71	50.00	260	0.379	0.051	DNA-50
	C1	SND3	Default	6/29/2022	4:32 PM	159.4	ng/ul	3.188	2.095	1.52	0.77	50.00	260	3.175	3.891	DNA-50
	D1	SNS1	Default	6/29/2022	4:32 PM	9.328	ng/ul	0.187	0.113	1.65	1.72	50.00	260	0.186	0.141	DNA-50
	E1	SNS2	Default	6/29/2022	4:32 PM	18.26	ng/ul	0.365	0.176	2.07	0.83	50.00	260	0.364	0.023	DNA-50
	F1	SNS3	Default	6/29/2022	4:32 PM	12.52	ng/ul	0.250	0.124	2.03	2.65	50.00	260	0.249	0.016	DNA-50
	G1	SNFIL	Default	6/29/2022	4:32 PM	0.4041	ng/ul	0.008	0.002	5.23	0.15	50.00	260	0.009	0.029	DNA-50
	H1	SNFIE	Default	6/29/2022	4:32 PM	1.091	ng/ul	0.022	0.001	17.88	-0.20	50.00	260	0.022	-0.019	DNA-50
	A2	G1D1	Default	6/29/2022	4:51 PM	103.9	ng/ul	2.078	1.375	1.51	0.79	50.00	260	2.069	6.249	DNA-50
	B2	G1D2	Default	6/29/2022	4:51 PM	28.64	ng/ul	0.573	0.255	2.25	1.24	50.00	260	0.571	6.433	DNA-50
	C2	G1D3	Default	6/29/2022	4:51 PM	36.61	ng/ul	0.732	0.450	1.63	0.70	50.00	260	0.731	0.520	DNA-50
	D2	G1S1	Default	6/29/2022	4:51 PM	11.53	ng/ul	0.231	0.121	1.91	0.75	50.00	260	0.229	0.022	DNA-50
	E2	G1S2?	Default	6/29/2022	4:51 PM	22.23	ng/ul	0.445	0.214	2.07	1.28	50.00	260	0.441	-0.063	DNA-50
	F2	G1S3	Default	6/29/2022	4:51 PM	12.88	ng/ul	0.258	0.147	1.76	2.21	50.00	260	0.256	-0.000	DNA-50
	G2	G1-2FIL	Default	6/29/2022	4:51 PM	0.6747	ng/ul	0.013	0.013	1.07	0.46	50.00	260	0.013	0.004	DNA-50
	H2	G1-2FIE	Default	6/29/2022	4:51 PM	13.69	ng/ul	0.274	0.139	1.98	0.25	50.00	260	0.270	0.128	DNA-50
	A3	G2D1	Default	6/29/2022	4:56 PM	19.81	ng/ul	0.396	0.217	1.82	0.76	50.00	260	0.394	-0.365	DNA-50
	B3	G2D2	Default	6/29/2022	4:56 PM	40.06	ng/ul	0.801	0.489	1.64	0.70	50.00	260	0.800	1.472	DNA-50
	C3	G2D3	Default	6/29/2022	4:56 PM	11.46	ng/ul	0.229	0.103	2.22	1.45	50.00	260	0.230	0.076	DNA-50
	D3	G2S1	Default	6/29/2022	4:56 PM	448.4	ng/ul	8.969	6.285	1.43	0.68	50.00	260	8.972	1.060	DNA-50
	E3	G2S2	Default	6/29/2022	4:56 PM	266.5	ng/ul	5.330	3.726	1.43	0.73	50.00	260	5.301	7.098	DNA-50
	F3	G2S3	Default	6/29/2022	4:56 PM	189.7	ng/ul	3.794	2.694	1.41	0.73	50.00	260	3.774	8.136	DNA-50
	G3	EXT	Default	6/29/2022	4:56 PM	59.51	ng/ul	1.190	0.758	1.57	0.58	50.00	260	1.186	1.250	DNA-50

Sample  ID	Curve Type	Ref  conc	Ref Abs	Std 1 conc	Std 1 Abs.	Std 2 conc	Std 2 Abs	Std 3 conc	Std 3 Abs	Std 4 conc	Std 4 Abs	Std 5 conc	Std 5 Abs	Std 6 conc	Std 6 Abs	Std 7 conc	Std 7 Abs
 SND1 	Interp																
 SND2 	Interp																
 SND3 	Interp																
 SNS1 	Interp																
 SNS2 	Interp																
 SNS3 	Interp																
 SNFIL 	Interp																
 SNFIE 	Interp																
 SND1 	Interp																
 SND2 	Interp																
 SND3 	Interp																
 SNS1 	Interp																
 SNS2 	Interp																
 SNS3 	Interp																
 SNFIL 	Interp																
 SNFIE 	Interp																
 G1D1 	Interp																
 G1D2 	Interp																
 G1D3 	Interp																
 G1S1 	Interp																
 G1S2? 	Interp																
 G1S3 	Interp																
 G1-2FIL 	Interp																
 G1-2FIE 	Interp																
 G2D1 	Interp																
 G2D2 	Interp																
 G2D3 	Interp																
 G2S1 	Interp																
 G2S2 	Interp																
 G2S3 	Interp																
 EXT 	Interp																
