Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1	SAHIFIL	Default	7/29/2022	3:58 PM	-0.2085	ng/ul	-0.004	-0.036	0.12	-0.01	50.00	260	-0.007	-0.380	DNA-50
	B1	SAHIFIE	Default	7/29/2022	3:58 PM	264.2	ng/ul	5.284	3.700	1.43	0.71	50.00	260	5.258	6.446	DNA-50
	C1	HISU1	Default	7/29/2022	3:58 PM	74.25	ng/ul	1.485	0.883	1.68	0.58	50.00	260	1.477	1.452	DNA-50
	D1	HISU2	Default	7/29/2022	3:58 PM	5.424	ng/ul	0.108	0.065	1.68	3.59	50.00	260	0.106	0.042	DNA-50
	E1	HISU3	Default	7/29/2022	3:58 PM	49.01	ng/ul	0.980	0.600	1.63	0.71	50.00	260	0.976	0.655	DNA-50
	F1	SASU1	Default	7/29/2022	3:58 PM	131.7	ng/ul	2.634	1.791	1.47	0.69	50.00	260	2.621	3.263	DNA-50
	G1	SASU2	Default	7/29/2022	3:58 PM	233.4	ng/ul	4.669	3.162	1.48	0.73	50.00	260	4.650	5.279	DNA-50
	H1	SASU3	Default	7/29/2022	3:58 PM	27.16	ng/ul	0.543	0.305	1.78	1.65	50.00	260	0.539	0.260	DNA-50
	A2	S1D1	Default	7/29/2022	4:05 PM	14.88	ng/ul	0.298	0.091	3.25	0.22	50.00	260	0.295	-0.361	DNA-50
	B2	S1D2	Default	7/29/2022	4:05 PM	76.23	ng/ul	1.525	0.946	1.61	0.47	50.00	260	1.517	1.984	DNA-50
	C2	S1D3	Default	7/29/2022	4:05 PM	10.59	ng/ul	0.212	0.108	1.97	0.55	50.00	260	0.209	-0.010	DNA-50
	D2	S1S1	Default	7/29/2022	4:05 PM	50.39	ng/ul	1.008	0.624	1.62	0.91	50.00	260	1.003	0.694	DNA-50
	E2	S1S2	Default	7/29/2022	4:05 PM	146.5	ng/ul	2.929	1.925	1.52	0.68	50.00	260	2.918	2.852	DNA-50
	F2	S1S3	Default	7/29/2022	4:05 PM	74.26	ng/ul	1.485	0.953	1.56	0.66	50.00	260	1.476	1.248	DNA-50
	G2	EXT	Default	7/29/2022	4:05 PM	2.471	ng/ul	0.049	0.034	1.45	-0.14	50.00	260	0.050	0.028	DNA-50
	H2	S2S1	Default	7/29/2022	4:05 PM	7.898	ng/ul	0.158	0.089	1.77	-1.96	50.00	260	0.157	-0.046	DNA-50
	A3	S2S2	Default	7/29/2022	4:08 PM	-3.791	ng/ul	-0.076	-0.050	1.50	0.34	50.00	260	-0.077	-0.448	DNA-50
	B3	S2S3	Default	7/29/2022	4:08 PM	140.9	ng/ul	2.818	1.863	1.51	0.68	50.00	260	2.805	2.959	DNA-50
	C3	HISU2	Default	7/29/2022	4:12 PM	510.6	ng/ul	10.213	6.928	1.47	0.62	50.00	260	10.182	0.990	DNA-50
	D3	S2S2	Default	7/29/2022	4:12 PM	-0.7859	ng/ul	-0.016	-0.006	2.69	0.08	50.00	260	-0.016	0.042	DNA-50
	E3	HISU2	Default	7/29/2022	4:15 PM	6.104	ng/ul	0.122	0.062	1.98	-6.31	50.00	260	0.122	0.078	DNA-50
	F3	S2S2	Default	7/29/2022	4:15 PM	0.3903	ng/ul	0.008	0.001	6.89	-0.05	50.00	260	0.005	0.058	DNA-50
