ID,Phylum,Class,Order,Family,Genus,Species
ESV_2512,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas morrisi
ESV_3883,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,
ESV_3430,Annelida,Clitellata,Enchytraeida,Enchytraeidae,,
ESV_4554,Annelida,Clitellata,Enchytraeida,Enchytraeidae,,
ESV_5313,Annelida,Clitellata,Enchytraeida,Enchytraeidae,,
ESV_6342,Annelida,Clitellata,Haplotaxida,Naididae,Chaetogaster,Chaetogaster diastrophus
ESV_6478,Annelida,Clitellata,Haplotaxida,Naididae,Chaetogaster,
ESV_4953,Annelida,Clitellata,Haplotaxida,Naididae,Pristina,Pristina osborni
ESV_5915,Annelida,Clitellata,Haplotaxida,Naididae,Pristina,
ESV_3560,Annelida,Polychaeta,Echiuroidea,Bonelliidae,Bonellia,
ESV_68,Annelida,Polychaeta,Echiuroidea,Bonelliidae,Bonellia,
ESV_6400,Annelida,Polychaeta,Eunicida,Amphinomidae,Eurythoe,
ESV_3457,Annelida,Polychaeta,Eunicida,Eunicidae,Eunicidae sp. USNM 1467410,
ESV_3922,Annelida,Polychaeta,Eunicida,Eunicidae,Eunicidae sp. USNM 1467410,
ESV_3079,Annelida,Polychaeta,Eunicida,Eunicidae,Palola,Palola sp. AM W.44146(1)
ESV_6084,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste atoka
ESV_939,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce medipapillata
ESV_2373,Annelida,Polychaeta,Phyllodocida,Polynoidae,Thormora,Thormora jukesii
ESV_4738,Annelida,Polychaeta,Phyllodocida,Polynoidae,Thormora,Thormora jukesii
ESV_2489,Annelida,Polychaeta,Phyllodocida,Polynoidae,,
ESV_2927,Annelida,Polychaeta,Phyllodocida,Polynoidae,,
ESV_4511,Annelida,Polychaeta,Phyllodocida,Polynoidae,,
ESV_3895,Annelida,Polychaeta,Phyllodocida,Syllidae,Amblyosyllis,Amblyosyllis spectabilis
ESV_846,Annelida,Polychaeta,Phyllodocida,Syllidae,Opisthodonta,Opisthodonta sp. MTA-2011
ESV_5268,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis gracilis
ESV_3445,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis okadai
ESV_4552,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis okadai
ESV_2619,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis picta
ESV_3192,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis picta
ESV_3626,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,Syllis picta
ESV_5909,Annelida,Polychaeta,Phyllodocida,Syllidae,Trypanosyllis,Trypanosyllis luzonensis
ESV_5512,Annelida,Polychaeta,Phyllodocida,Syllidae,,nan Syllidae sp. BMOO-14091
ESV_6491,Annelida,Polychaeta,Phyllodocida,Syllidae,,nan Syllidae sp. BMOO-14091
ESV_5207,Annelida,Polychaeta,Phyllodocida,Syllidae,,nan Syllidae sp. BMOO-14486
ESV_2871,Annelida,Polychaeta,Phyllodocida,Syllidae,,
ESV_3823,Annelida,Polychaeta,Phyllodocida,Syllidae,,
ESV_1821,Annelida,Polychaeta,Phyllodocida,,,nan Phyllodocida sp. USNM 1467511
ESV_4589,Annelida,Polychaeta,Spionida,Spionidae,Malacoceros,Malacoceros indicus
ESV_2702,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis sp. n. 2 GHL-2021
ESV_3975,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis sp. n. 2 GHL-2021
ESV_1466,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete punctata
ESV_4622,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete punctata
ESV_5218,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete punctata
ESV_6349,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,Timarete punctata
ESV_4597,Annelida,Polychaeta,Terebellida,Flabelligeridae,Flabelligera,
ESV_4350,Annelida,Polychaeta,Terebellida,Flabelligeridae,,
ESV_1321,Annelida,Polychaeta,Terebellida,Terebellidae,Nicolea,Nicolea sp. USNM IZ 1524135
ESV_2761,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,Terebellides sp. USNM 1467476
ESV_1340,Annelida,Polychaeta,,Chaetopteridae,Chaetopterus,Chaetopterus sp. 6 JM-2017
ESV_6449,Annelida,Polychaeta,,Dinophilidae,Dimorphilus,
ESV_3681,Annelida,Polychaeta,,Orbiniidae,,nan Orbiniidae sp. D ZW-2021
ESV_3230,Annelida,Polychaeta,,,,
ESV_3568,Annelida,Polychaeta,,,,
ESV_3577,Annelida,Polychaeta,,,,
ESV_4760,Annelida,Polychaeta,,,,
ESV_3503,Annelida,,,,,
ESV_5626,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne tergestina
ESV_1129,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_1225,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_1435,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_2143,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_543,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_577,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia japonica
ESV_5235,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia negligens
ESV_2901,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia sinjiensis
ESV_535,Arthropoda,Copepoda,Calanoida,Calanidae,Cosmocalanus,Cosmocalanus darwinii
