ID,CapeZanpa_shallow_seawater_3,CapeZanpa_shallow_seawater_2,CapeZanpa_shallow_seawater_1,CapeZanpa_deep_seawater_3,CapeZanpa_deep_seawater_2,CapeZanpa_deep_seawater_1,Zatsun_shallow_seawater_3,Zatsun_shallow_seawater_2,Zatsun_shallow_seawater_1,Zatsun_deep_seawater_3,Zatsun_deep_seawater_2,Zatsun_deep_seawater_1,Yonama_shallow_seawater_3,Yonama_shallow_seawater_2,Yonama_deep_seawater_1,Yonama_deep_seawater_3,Yonama_deep_seawater_2,Sunabe_shallow_seawater_3,Sunabe_shallow_seawater_2,Sunabe_shallow_seawater_1,Sunabe_deep_seawater_3,Sunabe_deep_seawater_2,Sunabe_deep_seawater_1,Sukuta_shallow_seawater_3,Sukuta_shallow_seawater_2,Sukuta_shallow_seawater_1,Sakubaru2_shallow_seawater_3,Sakubaru2_shallow_seawater_1,Sakubaru2_deep_seawater_3,Sakubaru2_deep_seawater_2,Sakubaru2_deep_seawater_1,Sakubaru1_shallow_seawater_3,Sakubaru1_shallow_seawater_2,Sakubaru1_shallow_seawater_1,Sakubaru1_deep_seawater_3,Sakubaru1_deep_seawater_2,Sakubaru1_deep_seawater_1,Mizugama_shallow_seawater_3,Mizugama_shallow_seawater_2,Mizugama_shallow_seawater_1,Mizugama_deep_seawater_3,Mizugama_deep_seawater_2,Mizugama_deep_seawater_1,Hizushi_shallow_seawater_3,Hizushi_shallow_seawater_2,Hizushi_shallow_seawater_1,Hizushi_deep_seawater_3,Hizushi_deep_seawater_2,Hizushi_deep_seawater_1,GinowanPort2_shallow_seawater_3,GinowanPort2_shallow_seawater_2,GinowanPort2_shallow_seawater_1,GinowanPort2_deep_seawater_3,GinowanPort2_deep_seawater_2,GinowanPort2_deep_seawater_1,GinowanPort1_shallow_seawater_3,GinowanPort1_shallow_seawater_2,GinowanPort1_shallow_seawater_1,GinowanPort1_deep_seawater_3,GinowanPort1_deep_seawater_2,GinowanPort1_deep_seawater_1,Awa_shallow_seawater_3,Awa_shallow_seawater_2,Awa_shallow_seawater_1,Awa_deep_seawater_3,Awa_deep_seawater_2,Awa_deep_seawater_1
ESV_2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_3883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_4554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_6478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_3560,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
